run_label,round,reference_framework,comparison_framework,reference_backend,comparison_backend,n_run,t_run,tolerance_ms,spikes_reference,spikes_comparison,spike_count_ratio_comparison_over_reference,active_reference,active_comparison,active_shared,active_union,active_jaccard,active_precision_comparison_over_reference,active_recall_comparison_over_reference,rate_pearson_shared,rate_rmse_hz_shared,rate_mae_hz_shared,timing_matches,timing_f1,timing_precision_comparison_over_reference,timing_recall_comparison_over_reference,timing_mean_abs_dt_ms,timing_median_abs_dt_ms,reference_spike_path,comparison_spike_path
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,32,10.0,1.0,5460685,5464691,1.000734,470,466,460,476,0.966387,0.987124,0.978723,0.99998209,0.279581,0.147846,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t10.0s_n32.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t10.0s_n32.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,32,100.0,1.0,54592169,54612318,1.000369,499,497,492,504,0.97619,0.98994,0.985972,0.99999874,0.073727,0.037929,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t100.0s_n32.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t100.0s_n32.parquet
nature_2026_05,3,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,1,0.1,1.0,1565,1507,0.962939,334,322,305,351,0.868946,0.947205,0.913174,0.91616976,20.477897,10.590164,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_03/brian2cpp_t0.1s_n1.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_03/brian2genn_t0.1s_n1.parquet
nature_2026_05,3,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,1,1.0,1.0,17021,17074,1.003114,387,400,378,409,0.924205,0.945,0.976744,0.99615125,4.169999,2.28836,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_03/brian2cpp_t1.0s_n1.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_03/brian2genn_t1.0s_n1.parquet
nature_2026_05,3,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,1,10.0,1.0,171006,170649,0.997912,433,438,428,443,0.96614,0.977169,0.988453,0.99928542,1.774034,0.801402,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_03/brian2cpp_t10.0s_n1.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_03/brian2genn_t10.0s_n1.parquet
nature_2026_05,3,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,1,100.0,1.0,1704969,1706068,1.000645,452,453,448,457,0.980306,0.988962,0.99115,0.9999467,0.480723,0.270871,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_03/brian2cpp_t100.0s_n1.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_03/brian2genn_t100.0s_n1.parquet
nature_2026_05,3,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,4,0.1,1.0,6214,6197,0.997264,367,361,351,377,0.931034,0.972299,0.956403,0.98722972,7.581466,3.988604,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_03/brian2cpp_t0.1s_n4.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_03/brian2genn_t0.1s_n4.parquet
nature_2026_05,3,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,4,1.0,1.0,67645,68302,1.009712,430,426,419,437,0.95881,0.983568,0.974419,0.99837456,2.700327,1.416468,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_03/brian2cpp_t1.0s_n4.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_03/brian2genn_t1.0s_n4.parquet
nature_2026_05,3,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,4,10.0,1.0,681036,683802,1.004061,446,445,440,451,0.97561,0.988764,0.986547,0.99988601,0.733271,0.389716,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_03/brian2cpp_t10.0s_n4.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_03/brian2genn_t10.0s_n4.parquet
nature_2026_05,3,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,4,100.0,1.0,6830889,6833728,1.000416,479,479,466,492,0.947154,0.97286,0.97286,0.9999897,0.210308,0.11081,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_03/brian2cpp_t100.0s_n4.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_03/brian2genn_t100.0s_n4.parquet
