run_label,round,n_run,t_run,flywire_id,reference_backend,comparison_backend,reference_framework,comparison_framework,reference_rate_hz,comparison_rate_hz
nature_2026_05,1,1,0.1,720575940619671616,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940619877396,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),90.0,70.0
nature_2026_05,1,1,0.1,720575940619973712,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),120.0,110.0
nature_2026_05,1,1,0.1,720575940620025620,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,20.0
nature_2026_05,1,1,0.1,720575940620031366,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,50.0
nature_2026_05,1,1,0.1,720575940620170887,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,30.0
nature_2026_05,1,1,0.1,720575940620274085,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),100.0,80.0
nature_2026_05,1,1,0.1,720575940620335269,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,60.0
nature_2026_05,1,1,0.1,720575940620346673,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,0.0
nature_2026_05,1,1,0.1,720575940620374693,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,30.0
nature_2026_05,1,1,0.1,720575940620473547,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940620474278,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,0.0
nature_2026_05,1,1,0.1,720575940620481240,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,40.0
nature_2026_05,1,1,0.1,720575940620673985,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,40.0
nature_2026_05,1,1,0.1,720575940620780272,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,30.0
nature_2026_05,1,1,0.1,720575940620805046,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940620873793,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),0.0,10.0
nature_2026_05,1,1,0.1,720575940620874757,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),120.0,100.0
nature_2026_05,1,1,0.1,720575940621057702,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940621261296,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,30.0
nature_2026_05,1,1,0.1,720575940621399899,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,40.0
nature_2026_05,1,1,0.1,720575940621422518,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,10.0
nature_2026_05,1,1,0.1,720575940621502051,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),220.0,170.0
nature_2026_05,1,1,0.1,720575940621538142,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,30.0
nature_2026_05,1,1,0.1,720575940621573030,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940621586854,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),80.0,60.0
nature_2026_05,1,1,0.1,720575940621667693,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940621754367,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),240.0,240.0
nature_2026_05,1,1,0.1,720575940621771041,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
