run_label,round,reference_backend,reference_framework,comparison_backend,comparison_framework,t_run,n_run,flywire_id,reference_rate_hz,comparison_rate_hz
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940625874992,70.0,60.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940625875504,50.0,50.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940626094350,0.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940626191306,110.0,120.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940626278974,20.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940626279742,50.0,50.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940626289021,10.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940626308697,30.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940626495746,40.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940626626597,20.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940626835146,70.0,80.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940626870846,0.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940626972056,40.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940626993694,30.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940626999464,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940627083294,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940627086594,30.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940627099338,50.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940627107271,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940627312668,10.0,10.0
